"","Clim01","Clim02","Clim03","Clim04","Clim05","Clim06","Clim07","Clim08","Clim09","Clim10","Clim11","Clim12","Clim13","Clim14","Clim15","Clim16","Clim17","Clim18","Clim19","dem","arachide"
"153",268,140,68,1520,357,152,205,276,262,282,243,630,241,0,151,547,0,159,2,8,308
"154",272,160,65,1926,390,145,245,277,270,293,242,525,182,0,143,443,0,37,2,32,300
"155",275,160,65,1819,391,147,244,279,274,295,247,567,189,0,141,478,1,39,3,33,780
"156",264,150,69,1620,358,143,215,275,255,279,238,538,208,0,154,472,1,126,2,26,500
"157",263,146,70,1607,352,144,208,275,243,278,238,540,213,0,153,475,1,337,1,24,300
"158",273,161,66,1824,389,146,243,278,271,293,245,554,190,0,142,469,0,38,2,36,167
"159",253,127,67,1937,332,145,187,273,235,274,227,368,139,0,155,324,0,288,1,36,350
"160",258,136,69,1928,341,144,197,276,251,277,230,356,131,0,152,310,0,207,3,38,120
"161",272,160,65,1916,389,145,244,276,270,293,242,511,176,0,142,430,0,36,2,37,400
"162",273,161,66,1833,389,146,243,278,271,293,245,552,191,0,142,468,0,37,2,33,1000
"163",262,143,70,1608,348,146,202,274,242,277,237,478,181,0,154,420,0,290,1,24,80
"164",264,149,68,1707,359,143,216,276,255,280,237,511,191,0,151,444,1,120,3,42,42
"165",273,161,66,1824,389,146,243,278,271,293,245,554,190,0,142,469,0,38,2,39,200
"166",271,131,68,1209,357,165,192,276,268,281,251,751,274,0,145,637,0,219,2,35,1400
"167",270,129,68,1241,353,164,189,277,266,280,250,758,277,0,145,646,0,217,2,5,533
"168",272,160,65,1918,390,145,245,276,271,293,242,507,174,0,141,426,0,36,2,37,200
"169",275,159,67,1830,384,147,237,284,270,293,246,555,202,0,147,479,0,143,2,20,400
"170",273,159,66,1871,385,146,239,281,267,292,243,520,189,0,147,449,0,141,2,22,133
"171",270,160,66,1868,385,144,241,277,266,290,241,537,198,0,147,461,0,149,2,22,1035
"172",266,154,69,1642,364,142,222,276,258,282,240,543,208,0,152,476,0,129,1,23,600
"173",276,160,66,1864,388,149,239,285,270,295,247,535,193,0,147,461,0,142,2,23,500
"174",274,158,67,1831,383,148,235,283,267,293,245,540,197,0,146,465,0,140,2,22,400
"175",268,157,66,1884,378,143,235,276,262,287,238,485,175,0,147,419,0,133,2,52,100
"176",271,157,67,1752,376,145,231,280,264,288,243,556,207,0,149,482,0,137,2,33,400
"177",273,158,67,1775,380,146,234,282,267,290,245,563,206,0,150,487,0,144,2,16,200
"178",279,157,63,2181,399,151,248,286,293,303,246,410,134,0,138,341,1,25,4,30,250
"179",273,160,65,1852,390,146,244,277,271,293,244,550,189,0,143,464,0,39,2,38,250
"180",272,157,67,1820,378,145,233,282,265,290,243,550,203,0,150,475,0,138,2,30,200
"181",272,161,65,1899,389,145,244,278,270,293,243,545,191,0,143,462,0,37,2,36,1208
